FILE, A, dA, STAT
0, 0.030411, 0.00418797, 0.00732859
1, 0.0351592, 0.00893621, 0.0127811
3, 0.0252837, -0.000939311, 0.00726081
4, 0.0284905, 0.00226746, 0.0072823
5, 0.0289019, 0.00267886, 0.00779339
6, 0.0190793, -0.00714366, 0.00785809
7, 0.0230558, -0.00316717, 0.00687724
8, 0.0276482, 0.00142516, 0.0077879
9, 0.03428, 0.00805696, 0.00801261
10, 0.0274732, 0.0012502, 0.00741666
11, 0.0307167, 0.00449369, 0.00762301
12, 0.0230686, -0.00315443, 0.00676918
13, 0.0218851, -0.00433786, 0.00762864
14, 0.0352454, 0.00902239, 0.0073987
15, 0.027476, 0.001253, 0.00721892
16, 0.0253195, -0.00090348, 0.00731256
17, 0.0253623, -0.000860733, 0.00746096
18, 0.0183405, -0.0078825, 0.01133
19, 0.0298581, 0.00363512, 0.0122404
20, 0.0277619, 0.00153893, 0.00783667
21, 0.0311874, 0.00496444, 0.00768359
22, 0.0211478, -0.00507524, 0.00785637
23, 0.0741292, 0.0479062, 0.157648
25, -0.00661058, -0.0328336, 0.156942
26, 0.391859, 0.365636, 0.149378
27, 0.3938, 0.367577, 0.149089
28, -0.0917648, -0.117988, 0.14536
33, 0.0102275, -0.0159955, 0.0117255
34, 0.025999, -0.00022395, 0.0089752
35, 0.362376, 0.336153, 0.152884
36, 0.0163809, -0.00984212, 0.00940767
37, 0.0213939, -0.00482912, 0.00826303
38, 0.0304772, 0.00425417, 0.00766244
39, 0.0284138, 0.0021908, 0.00707433
40, 0.0200089, -0.00621411, 0.00709669
41, 0.0307703, 0.00454728, 0.00735739
42, 0.0240979, -0.00212508, 0.0069877
43, 0.029285, 0.00306197, 0.0072206
44, 0.0262783, 5.52519e-05, 0.00754304
45, 0.0206025, -0.00562052, 0.00802982
46, 0.0241035, -0.00211951, 0.00700862
47, 0.0253458, -0.000877156, 0.00725181
48, 0.0256485, -0.000574482, 0.00701879
49, 0.028675, 0.00245205, 0.00729183
50, 0.0291494, 0.00292638, 0.00701386
51, 0.0299425, 0.00371951, 0.00761053
52, 0.0268143, 0.000591305, 0.00710512
53, 0.0246268, -0.00159617, 0.00799429
54, 0.0265585, 0.000335463, 0.00705349
55, 0.021382, -0.00484102, 0.00720656
56, 0.0240414, -0.00218162, 0.00698389
57, 0.0281086, 0.0018856, 0.00688496
58, 0.0253853, -0.000837718, 0.00742983
59, 0.0214628, -0.00476019, 0.00714858
60, 0.0290903, 0.0028673, 0.00727612
61, 0.0254513, -0.000771735, 0.00728835
62, 0.024253, -0.00197002, 0.00703492
63, 0.0270936, 0.000870637, 0.00681761
64, 0.0275323, 0.0013093, 0.00706918
65, 0.022765, -0.003458, 0.00693594
66, 0.0261513, -7.1659e-05, 0.00706019
67, 0.025734, -0.000488967, 0.00735878
68, 0.0235315, -0.00269149, 0.00689243
69, 0.025249, -0.000974035, 0.00745388
70, 0.0341407, 0.00791773, 0.0073317
71, 0.025426, -0.000797022, 0.00730312
72, 0.0217316, -0.00449135, 0.00714306
73, 0.0315838, 0.00536083, 0.00799396
74, 0.0237073, -0.00251571, 0.0077651
75, 0.0236238, -0.00259918, 0.00714128
76, 0.0265261, 0.000303094, 0.00685246
77, 0.0244905, -0.00173254, 0.00703256
78, 0.0238273, -0.00239567, 0.00635721
79, 0.0224714, -0.0037516, 0.00771496
80, 0.0302805, 0.00405745, 0.00761966
81, 0.0252565, -0.00096649, 0.00697149
82, 0.0311142, 0.00489123, 0.00742959
83, 0.0278591, 0.00163609, 0.00760956
84, 0.0222875, -0.00393547, 0.00720792
85, 0.0302091, 0.00398608, 0.00769589
86, 0.0272733, 0.00105035, 0.00762211
87, 0.022057, -0.00416596, 0.0070172
88, 0.025413, -0.000809999, 0.00664579
89, 0.033294, 0.00707098, 0.00756966
90, 0.0265324, 0.000309384, 0.00692677
91, 0.0283134, 0.00209039, 0.00760784
92, 0.0282994, 0.00207638, 0.00689318
93, 0.0236115, -0.00261146, 0.00732428
94, 0.0234477, -0.00277534, 0.00658734
95, 0.030706, 0.00448295, 0.00725606
96, 0.0266545, 0.000431539, 0.00689527
97, 0.0271738, 0.000950752, 0.00771369
98, 0.0247808, -0.00144216, 0.00689949
99, 0.0234602, -0.00276285, 0.00739416
100, 0.0295745, 0.00335154, 0.00777529
101, 0.0298673, 0.00364435, 0.00753782
102, 0.023848, -0.00237504, 0.0071462
103, 0.0311525, 0.00492945, 0.00713595
104, 0.0300669, 0.00384391, 0.00729506
105, 0.0267697, 0.000546683, 0.00726426
106, 0.0244666, -0.00175641, 0.00646136
107, 0.0250261, -0.00119694, 0.00753597
108, 0.0296111, 0.00338814, 0.00660853
109, 0.0283825, 0.00215952, 0.00743638
110, 0.028488, 0.00226498, 0.00728409
111, 0.0263507, 0.000127728, 0.00736683
112, 0.0281253, 0.00190235, 0.00726268
113, 0.0248952, -0.00132784, 0.0065827
114, 0.030331, 0.00410796, 0.00684644
115, 0.0276884, 0.0014654, 0.00759753
116, 0.0252415, -0.000981492, 0.00687526
117, 0.0236766, -0.00254644, 0.00818461
118, 0.0241819, -0.00204106, 0.00757257
119, 0.0233823, -0.00284065, 0.00685651
120, 0.0244558, -0.00176722, 0.00702334
121, 0.0264829, 0.000259911, 0.00735366
122, 0.0200738, -0.00614916, 0.0066355
123, 0.0220254, -0.00419759, 0.00658217
124, 0.0218225, -0.00440053, 0.00758088
125, 0.0293924, 0.00316944, 0.00742192
126, 0.0236064, -0.00261657, 0.00705597
127, 0.0251633, -0.0010597, 0.00668363
128, 0.0280567, 0.00183372, 0.0072809
129, 0.0255986, -0.000624411, 0.00632855
130, 0.0253739, -0.000849052, 0.00735304
131, 0.0263971, 0.000174132, 0.00749133
132, 0.0283179, 0.00209495, 0.00775563
133, 0.0217331, -0.00448995, 0.00666565
134, 0.0196152, -0.00660775, 0.00717615
135, 0.0291519, 0.00292891, 0.00741818
136, 0.0155959, -0.0106271, 0.00686873
137, 0.0248578, -0.00136519, 0.0076833
138, 0.023467, -0.00275597, 0.00679901
139, 0.0268346, 0.000611592, 0.00733642
140, 0.0221103, -0.00411265, 0.00694088
141, 0.026854, 0.000630956, 0.00653793
142, 0.0290239, 0.00280094, 0.00758157
143, 0.0261766, -4.63935e-05, 0.00734027
144, 0.023234, -0.00298896, 0.0074299
145, 0.024442, -0.00178102, 0.00746923
146, 0.0139928, -0.0122302, 0.00797418
147, 0.0167803, -0.00944265, 0.00760899
148, 0.0144476, -0.0117754, 0.00820391
149, 0.02641, 0.000187018, 0.00699704
150, 0.0264679, 0.000244947, 0.00756541
151, 0.0240978, -0.00212519, 0.00781083
152, 0.0176043, -0.00861871, 0.00951125
153, 0.0226561, -0.00356687, 0.00938399
154, 0.0265866, 0.000363639, 0.00824827
155, 0.0248389, -0.00138407, 0.00646423
156, 0.0241793, -0.00204368, 0.00747042
157, 0.0206509, -0.00557214, 0.00971499
158, 0.0155734, -0.0106496, 0.00930368
159, 0.0133037, -0.0129193, 0.00965375
160, 0.0287084, 0.00248541, 0.00740716
161, 0.0318617, 0.00563875, 0.00790834
162, 0.0276824, 0.0014594, 0.0068268
163, 0.0257738, -0.000449201, 0.00739123
164, 0.0303408, 0.00411781, 0.00687754
165, 0.0222736, -0.00394939, 0.00731735
166, 0.0323859, 0.00616287, 0.00780719
167, 0.0253694, -0.000853605, 0.00695633
168, 0.0274846, 0.00126159, 0.00710103
169, 0.0263594, 0.0001364, 0.00720365
170, 0.0285828, 0.00235985, 0.00782343
171, 0.0229392, -0.00328385, 0.00819588
172, 0.0213862, -0.00483685, 0.00711213
173, 0.0276395, 0.00141648, 0.00756757
174, 0.0201069, -0.00611609, 0.00725125
175, 0.0200617, -0.00616131, 0.00852699
176, 0.022534, -0.003689, 0.00798778
177, 0.386302, 0.360079, 0.158884
178, 0.315132, 0.288909, 0.154684
179, 0.314638, 0.288415, 0.147074
180, 0.0260195, -0.000203511, 0.00817747
181, 0.0193676, -0.00685543, 0.00713337
182, 0.0236671, -0.00255586, 0.00816705
183, 0.0196759, -0.00654711, 0.00821424
184, 0.0218445, -0.00437852, 0.00766082
185, 0.0289002, 0.00267717, 0.00693875
186, 0.0216365, -0.00458653, 0.00657572
187, 0.0284233, 0.00220028, 0.008838
188, 0.0256185, -0.000604494, 0.00708469
189, 0.0413093, 0.0150863, 0.0159611
190, 0.0139304, -0.0122926, 0.0109891
191, 0.0195997, -0.00662331, 0.00700182
192, 0.0175674, -0.00865562, 0.00965094
193, 0.0204329, -0.00579011, 0.0100809
194, 0.0280597, 0.00183669, 0.00729175
195, 0.0311839, 0.00496092, 0.00743556
196, 0.0180099, -0.00821309, 0.00946133
197, 0.0298606, 0.00363759, 0.00768356
198, 0.0227624, -0.00346055, 0.00736938
199, 0.0133296, -0.0128934, 0.0118242
200, 0.0148449, -0.0113781, 0.0112274
201, 0.0133659, -0.0128571, 0.0116714
202, 0.00978303, -0.01644, 0.0114701
203, 0.0218374, -0.0043856, 0.0074541
204, 0.036906, 0.010683, 0.00868243
205, 0.0225456, -0.00367744, 0.00881579
206, 0.0297422, 0.0035192, 0.00720943
207, 0.0215836, -0.00463936, 0.00707338
208, 0.0201718, -0.00605116, 0.00890464
209, 0.016856, -0.00936698, 0.0093527
210, 0.0238225, -0.00240049, 0.00789337
211, 0.0238931, -0.00232995, 0.00934713
212, 0.0286109, 0.00238789, 0.0103394
213, 0.0236346, -0.00258843, 0.00893657
214, 0.425944, 0.399721, 0.142786
215, 0.0635767, 0.0373537, 0.0122847
216, 0.031704, 0.005481, 0.0083222
217, 0.0187659, -0.00745711, 0.00722829
