run,charge,nfiles,charge_per_file
37656,23515162,1,23515162.0
37657,139104476,1,139104476.0
37658,101680198,8,12710024.75
37659,112064778,9,12451642.0
37660,20994294,2,10497147.0
37661,132972558,10,13297255.8
37662,285425592,21,13591694.857142856
37664,273769928,20,13688496.4
37665,267101490,19,14057973.157894736
37666,264873732,20,13243686.6
37667,78126348,6,13021058.0
37668,3864086,1,3864086.0
37669,1263540,1,1263540.0
37670,98796028,7,14113718.285714285
37672,173046282,14,12360448.714285715
37673,294946672,22,13406666.909090908
37674,298933838,22,13587901.727272727
37675,268244986,20,13412249.3
37677,83685544,7,11955077.714285715
37678,265482232,19,13972749.05263158
37679,207173580,16,12948348.75
37680,259643998,20,12982199.9
37681,136751112,11,12431919.272727273
37683,259416230,20,12970811.5
37684,80605870,6,13434311.666666666
37685,266778956,20,13338947.8
37686,314114796,24,13088116.5
37687,283464082,21,13498289.61904762
37688,264699388,20,13234969.4
37689,84248400,7,12035485.714285715
37690,221427356,17,13025138.588235294
37691,200384674,15,13358978.266666668
37692,93942382,7,13420340.285714285
37693,259567624,19,13661453.894736841
37694,166945876,13,12841990.461538462
37698,257496414,20,12874820.7
37699,258997882,20,12949894.1
37700,266663306,20,13333165.3
37701,264035588,20,13201779.4
37702,269919870,21,12853327.142857144
37703,264208226,20,13210411.3
37704,223945648,17,13173273.411764706
37705,301954568,23,13128459.47826087
37706,245466502,19,12919289.578947369
37707,270761334,21,12893396.857142856
37708,291699514,22,13259068.818181818
37709,259143692,20,12957184.6
37710,258529592,20,12926479.6
37711,253444314,20,12672215.7
37712,262908664,20,13145433.2
37713,263508980,20,13175449.0
37714,258130318,20,12906515.9
37715,292025376,23,12696755.47826087
37716,111222246,9,12358027.333333334
37717,255267228,20,12763361.4
37718,14961952,2,7480976.0
37719,245979450,19,12946286.842105264
37720,16448486,2,8224243.0
37721,246971636,19,12998507.157894736
37722,257373624,20,12868681.2
37723,260005088,20,13000254.4
37724,264511952,21,12595807.238095239
37725,122215460,10,12221546.0
37726,175146844,14,12510488.857142856
37740,280109222,18,15561623.444444444
37741,22842558,2,11421279.0
37742,11689900,1,11689900.0
37743,63605472,4,15901368.0
37744,269695464,19,14194498.105263159
37745,274993542,20,13749677.1
37746,280884226,21,13375439.333333334
37747,39555178,3,13185059.333333334
37748,66756844,5,13351368.8
37750,169086264,13,13006635.692307692
37753,280745464,22,12761157.454545455
37757,60557254,5,12111450.8
37759,64464258,5,12892851.6
37760,101835508,8,12729438.5
37761,7921876,1,7921876.0
37762,130016266,10,13001626.6
37763,260895650,20,13044782.5
37765,50020452,4,12505113.0
37766,170168214,13,13089862.615384616
37767,258839638,20,12941981.9
37768,12919050,1,12919050.0
37769,255387502,20,12769375.1
37770,138098408,11,12554400.727272727
37771,30883704,3,10294568.0
37772,263380242,20,13169012.1
37773,267522390,21,12739161.42857143
37774,26179334,2,13089667.0
37775,275350868,21,13111946.095238095
37776,246726188,19,12985588.842105264
37777,27944078,1,27944078.0
37778,285948274,22,12997648.818181818
37779,40252644,4,10063161.0
37780,261877780,20,13093889.0
37781,281837174,22,12810780.636363637
37782,260395674,20,13019783.7
37783,89612902,7,12801843.142857144
37784,96397668,8,12049708.5
37785,256414004,20,12820700.2
37786,11562448,1,11562448.0
37787,38790428,3,12930142.666666666
37788,267362838,20,13368141.9
37789,261817534,20,13090876.7
37790,103508302,8,12938537.75
37801,127232850,10,12723285.0
37802,263527280,20,13176364.0
37803,255022234,20,12751111.7
37804,260587030,20,13029351.5
37805,274186598,21,13056504.666666666
37806,263305058,21,12538336.095238095
37807,291830360,23,12688276.52173913
37808,282042004,22,12820091.090909092
37809,260064526,20,13003226.3
37810,284192084,22,12917822.0
37811,257048700,20,12852435.0
37812,208923162,16,13057697.625
37813,266330266,21,12682393.61904762
37814,229212648,18,12734036.0
37815,265954448,22,12088838.545454545
37816,255615472,21,12172165.333333334
37817,256991290,20,12849564.5
37818,196192692,16,12262043.25
37819,85165484,7,12166497.714285715
37820,254345872,21,12111708.19047619
37821,49226188,4,12306547.0
37822,274494682,21,13071175.333333334
37823,265317172,20,13265858.6
37824,220717620,17,12983389.411764706
37825,239141372,18,13285631.777777778
37826,12880238,1,12880238.0
37828,74275404,5,14855080.8
37829,237596706,18,13199817.0
37831,280436278,22,12747103.545454545
37832,275880132,21,13137149.142857144
37833,185936652,15,12395776.8
37843,49490390,10,4949039.0
37844,255873978,20,12793698.9
37845,242950464,20,12147523.2
37846,191177730,15,12745182.0
37847,201084040,16,12567752.5
37848,266149660,21,12673793.333333334
37849,258574964,20,12928748.2
37850,256694372,20,12834718.6
37851,132274382,10,13227438.2
37852,55642436,5,11128487.2
37853,276106536,2,138053268.0
37854,1685398646,9,187266516.2222222
37856,612380970,9,68042330.0
38045,67826138,1,67826138.0
38046,57746050,5,11549210.0
38047,53457032,5,10691406.4
38048,262295882,21,12490280.095238095
38049,291359086,24,12139961.916666666
38050,266735574,22,12124344.272727273
38051,235869050,20,11793452.5
38052,198768128,15,13251208.533333333
38053,16672986,2,8336493.0
38068,54931888,4,13732972.0
38070,294122756,22,13369216.181818182
38071,312517626,24,13021567.75
38072,369537156,21,17597007.42857143
38074,292359060,23,12711263.47826087
38075,279618456,23,12157324.173913043
38076,375524090,31,12113680.322580645
38077,263713946,22,11986997.545454545
38078,254935044,21,12139764.0
38079,138527684,12,11543973.666666666
38080,261290386,22,11876835.727272727
38081,253340748,21,12063845.142857144
38082,255641252,21,12173392.952380951
38083,258521824,22,11750992.0
38084,255460084,21,12164765.904761905
38085,257623768,22,11710171.272727273
38086,271108880,23,11787342.608695652
38087,40043688,4,10010922.0
38088,12544914,1,12544914.0
38089,266438086,22,12110822.090909092
38090,267730324,23,11640448.869565217
38091,288318734,24,12013280.583333334
38092,252359844,21,12017135.42857143
38093,262977618,22,11953528.090909092
38094,258558298,22,11752649.909090908
38095,131286018,11,11935092.545454545
38096,260293144,22,11831506.545454545
38097,279644172,24,11651840.5
38098,288352512,25,11534100.48
