,charge,filename,run,stub
0,13678584,clas_037664.A09,037664,09
1,10838704,clas_038456.A16,038456,16
2,10782796,clas_038537.A10,038537,10
3,11862434,clas_038443.A03,038443,03
4,11614142,clas_038696.A14,038696,14
5,11640834,clas_038600.A08,038600,08
6,10895318,clas_038500.A06,038500,06
7,11807142,clas_038382.A13,038382,13
8,12759078,clas_038121.A16,038121,16
9,11457354,clas_038177.A07,038177,07
10,11791654,clas_038394.A07,038394,07
11,8760832,clas_038658.A04,038658,04
12,13379104,clas_037778.A20,037778,20
13,13276316,clas_037726.A04,037726,04
14,10514256,clas_038524.A28,038524,28
15,11367272,clas_038580.A09,038580,09
16,10876118,clas_038508.A15,038508,15
17,11060684,clas_038177.A06,038177,06
18,12850522,clas_038074.A15,038074,15
19,11075118,clas_038743.A05,038743,05
20,12683156,clas_038266.A00,038266,00
21,11284970,clas_038581.A07,038581,07
22,13250518,clas_037804.A05,037804,05
23,11734036,clas_038398.A11,038398,11
24,12322334,clas_038215.A11,038215,11
25,10880794,clas_038704.A08,038704,08
26,14539850,clas_037678.A16,037678,16
27,13329942,clas_037789.A10,037789,10
28,5146858,clas_038683.A00,038683,00
29,13785070,clas_037825.A05,037825,05
30,13351888,clas_037699.A12,037699,12
31,11421998,clas_038198.A00,038198,00
32,10877232,clas_038539.A25,038539,25
33,12535214,clas_038674.A00,038674,00
34,12338488,clas_038211.A10,038211,10
35,12440968,clas_038095.A02,038095,02
36,12320822,clas_038215.A09,038215,09
37,13326816,clas_037721.A09,037721,09
38,11454476,clas_038453.A18,038453,18
39,13320262,clas_037803.A07,037803,07
40,10321158,clas_038509.A24,038509,24
41,11757736,clas_038143.A21,038143,21
42,8051086,clas_038468.A22,038468,22
43,13346796,clas_037690.A09,037690,09
44,13382028,clas_037810.A10,037810,10
45,13402808,clas_037820.A06,037820,06
46,11076226,clas_038620.A19,038620,19
47,6758338,clas_037819.A06,037819,06
48,11506218,clas_038687.A17,038687,17
49,12136222,clas_038100.A19,038100,19
50,13562810,clas_037788.A18,037788,18
51,12631890,clas_038341.A06,038341,06
52,8886690,clas_038667.A30,038667,30
53,4867634,clas_038683.A04,038683,04
54,10638620,clas_038539.A27,038539,27
55,12857810,clas_037850.A04,037850,04
56,13152164,clas_037789.A18,037789,18
57,13277634,clas_037714.A05,037714,05
58,12115636,clas_038097.A08,038097,08
59,12593258,clas_038284.A09,038284,09
