q2_bin,q2,w_bin,w,value,error
1,1.8250e+00,1,1.1125e+00,1.2301e-03,1.0265e-04
1,1.8250e+00,2,1.1375e+00,2.2802e-03,1.3658e-04
1,1.8250e+00,3,1.1625e+00,3.4373e-03,1.4768e-04
1,1.8250e+00,4,1.1875e+00,5.9466e-03,2.0285e-04
1,1.8250e+00,5,1.2125e+00,8.0983e-03,2.3671e-04
1,1.8250e+00,6,1.2375e+00,8.4410e-03,2.3378e-04
1,1.8250e+00,7,1.2625e+00,7.7903e-03,2.1629e-04
1,1.8250e+00,8,1.2875e+00,6.8137e-03,1.9481e-04
1,1.8250e+00,9,1.3125e+00,6.0508e-03,1.7529e-04
1,1.8250e+00,10,1.3375e+00,6.3421e-03,1.8702e-04
1,1.8250e+00,11,1.3625e+00,6.4894e-03,1.8631e-04
1,1.8250e+00,12,1.3875e+00,6.4510e-03,1.7889e-04
1,1.8250e+00,13,1.4125e+00,7.0868e-03,1.8729e-04
1,1.8250e+00,14,1.4375e+00,7.5001e-03,1.8683e-04
1,1.8250e+00,15,1.4625e+00,9.5196e-03,2.2120e-04
1,1.8250e+00,16,1.4875e+00,1.0953e-02,2.2688e-04
1,1.8250e+00,17,1.5125e+00,1.2285e-02,2.4708e-04
1,1.8250e+00,18,1.5375e+00,1.1569e-02,2.3290e-04
1,1.8250e+00,19,1.5625e+00,1.0242e-02,2.0871e-04
1,1.8250e+00,20,1.5875e+00,9.9721e-03,2.0311e-04
1,1.8250e+00,21,1.6125e+00,1.0195e-02,2.0381e-04
1,1.8250e+00,22,1.6375e+00,1.0884e-02,2.0621e-04
1,1.8250e+00,23,1.6625e+00,1.2950e-02,2.3734e-04
1,1.8250e+00,24,1.6875e+00,1.3962e-02,2.4247e-04
1,1.8250e+00,25,1.7125e+00,1.4486e-02,2.4730e-04
1,1.8250e+00,26,1.7375e+00,1.3668e-02,2.3510e-04
1,1.8250e+00,27,1.7625e+00,1.2599e-02,2.1542e-04
1,1.8250e+00,28,1.7875e+00,1.2827e-02,2.2057e-04
1,1.8250e+00,29,1.8125e+00,1.2479e-02,2.1105e-04
1,1.8250e+00,30,1.8375e+00,1.2475e-02,2.0921e-04
1,1.8250e+00,31,1.8625e+00,1.3107e-02,2.1812e-04
1,1.8250e+00,32,1.8875e+00,1.3606e-02,2.2378e-04
1,1.8250e+00,33,1.9125e+00,1.3464e-02,2.1892e-04
1,1.8250e+00,34,1.9375e+00,1.3099e-02,2.0699e-04
1,1.8250e+00,35,1.9625e+00,1.3420e-02,2.1195e-04
1,1.8250e+00,36,1.9875e+00,1.3102e-02,2.0426e-04
1,1.8250e+00,37,2.0125e+00,1.2982e-02,1.9946e-04
1,1.8250e+00,38,2.0375e+00,1.2836e-02,1.9497e-04
1,1.8250e+00,39,2.0625e+00,1.2832e-02,1.9277e-04
1,1.8250e+00,40,2.0875e+00,1.2704e-02,1.8995e-04
2,2.0750e+00,1,1.1125e+00,6.0487e-04,5.8088e-05
2,2.0750e+00,2,1.1375e+00,1.1152e-03,7.7014e-05
2,2.0750e+00,3,1.1625e+00,1.6858e-03,8.3532e-05
2,2.0750e+00,4,1.1875e+00,3.0821e-03,1.2527e-04
2,2.0750e+00,5,1.2125e+00,4.5951e-03,1.6625e-04
2,2.0750e+00,6,1.2375e+00,4.4229e-03,1.4607e-04
2,2.0750e+00,7,1.2625e+00,4.1363e-03,1.3602e-04
